Nombre,Plataforma,Lanzamiento,Genero,V_NA,V_EU,V_JP,V_Otros,V_Global,Score,ESRB,Exito
Rugby 2005,PS2,2005,Sports,0.04,0.03,0.0,0.01,0.09,71.0,E,0
Advent Rising,XB,2005,Action,0.1,0.03,0.0,0.0,0.13,68.0,T,0
Banjo-Pilot,GBA,2005,Racing,0.07,0.03,0.0,0.0,0.1,68.0,E,0
Stubbs the Zombie in Rebel Without a Pulse,XB,2005,Action,0.08,0.02,0.0,0.0,0.11,75.0,M,0
50 Cent: Bulletproof,XB,2005,Action,0.33,0.1,0.0,0.02,0.44,50.0,M,0
Fullmetal Alchemist: Dual Sympathy,DS,2005,Role-Playing,0.05,0.0,0.04,0.0,0.09,58.0,T,0
Brothers In Arms: Road to Hill 30,PS2,2005,Shooter,0.38,0.01,0.0,0.06,0.46,82.0,M,0
Break 'Em All,DS,2005,Puzzle,0.11,0.0,0.0,0.01,0.12,68.0,E,0
The Sims 2,GBA,2005,Simulation,0.28,0.1,0.0,0.01,0.39,58.0,E10+,0
World Championship Poker 2: Featuring Howard Lederer,XB,2005,Misc,0.07,0.02,0.0,0.0,0.09,71.0,T,0
Delta Force: Black Hawk Down,PS2,2005,Shooter,0.22,0.17,0.0,0.06,0.46,58.0,T,0
Snood 2: On Vacation,DS,2005,Puzzle,0.09,0.0,0.0,0.01,0.09,46.0,E,0
Ninja Gaiden Black,XB,2005,Action,0.07,0.02,0.0,0.0,0.09,94.0,M,0
MVP Baseball 2005,GC,2005,Sports,0.25,0.07,0.0,0.01,0.33,88.0,E,0
Zathura,PS2,2005,Adventure,0.06,0.05,0.0,0.02,0.12,43.0,E10+,0
Area 51,PS2,2005,Shooter,0.22,0.17,0.0,0.06,0.45,75.0,M,0
Lost in Blue,DS,2005,Adventure,0.07,0.02,0.02,0.01,0.11,69.0,E10+,0
NeoGeo Battle Coliseum,PS2,2005,Fighting,0.16,0.13,0.0,0.04,0.33,66.0,T,0
FIFA Soccer 06,PSP,2005,Sports,0.1,0.0,0.0,0.01,0.11,77.0,E,0
Ford Racing 3,DS,2005,Racing,0.09,0.0,0.0,0.01,0.1,49.0,E,0
Call Of Duty 2: Big Red One,GC,2005,Shooter,0.25,0.07,0.0,0.01,0.33,76.0,T,0
Constantine,PS2,2005,Action,0.05,0.04,0.0,0.01,0.11,58.0,M,0
Charlie and the Chocolate Factory,XB,2005,Adventure,0.08,0.02,0.0,0.0,0.11,39.0,E,0
WWE WrestleMania 21,XB,2005,Fighting,0.34,0.1,0.0,0.02,0.45,56.0,T,0
Real World Golf,PS2,2005,Sports,0.05,0.04,0.0,0.01,0.11,73.0,E,0
Age of Empires III,PC,2005,Strategy,0.0,0.33,0.0,0.05,0.38,81.0,T,0
Tales of Legendia,PS2,2005,Role-Playing,0.07,0.05,0.35,0.02,0.49,72.0,T,0
Tak: The Great Juju Challenge,DS,2005,Platform,0.09,0.0,0.0,0.01,0.09,66.0,E,0
EyeToy: Operation Spy,PS2,2005,Action,0.05,0.04,0.0,0.01,0.1,53.0,E,0
Dance Dance Revolution Ultramix 3,XB,2005,Simulation,0.28,0.08,0.0,0.01,0.38,75.0,E10+,0
Predator: Concrete Jungle,XB,2005,Action,0.07,0.02,0.0,0.0,0.1,46.0,M,0
Shrek SuperSlam,XB,2005,Action,0.07,0.02,0.0,0.0,0.09,71.0,E10+,0
Lunar: Dragon Song,DS,2005,Role-Playing,0.11,0.0,0.0,0.01,0.12,59.0,E10+,0
ATV: Quad Frenzy,DS,2005,Racing,0.1,0.0,0.0,0.01,0.11,35.0,E,0
Advance Wars: Dual Strike,DS,2005,Strategy,0.3,0.02,0.04,0.03,0.39,90.0,E,0
Dr. Mario / Puzzle League,GBA,2005,Puzzle,0.12,0.04,0.16,0.01,0.33,74.0,E,0
The Legend of Heroes: A Tear of Vermillion,PSP,2005,Role-Playing,0.08,0.0,0.0,0.01,0.09,68.0,T,0
Project: Snowblind,XB,2005,Action,0.08,0.02,0.0,0.0,0.11,79.0,T,0
Trauma Center: Under the Knife,DS,2005,Simulation,0.3,0.01,0.02,0.03,0.35,81.0,T,0
Bratz: Rock Angelz,PS2,2005,Misc,0.19,0.15,0.0,0.05,0.38,60.0,E,0
NBA Street V3,XB,2005,Sports,0.28,0.03,0.0,0.01,0.32,89.0,E,0
Marvel Nemesis: Rise of the Imperfects,GC,2005,Fighting,0.3,0.08,0.0,0.01,0.38,54.0,T,0
Makai Kingdom: Chronicles of the Sacred Tome,PS2,2005,Role-Playing,0.06,0.05,0.0,0.02,0.12,77.0,T,0
Robots,XB,2005,Action,0.07,0.02,0.0,0.0,0.09,60.0,E,0
World Series of Poker,PS2,2005,Misc,0.39,0.01,0.0,0.06,0.47,46.0,E10+,0
Pac-Man World 3,GC,2005,Platform,0.07,0.02,0.0,0.0,0.09,66.0,E,0
Kong: The 8th Wonder of the World,GBA,2005,Action,0.33,0.12,0.0,0.01,0.47,59.0,E10+,0
Darkwatch,PS2,2005,Shooter,0.16,0.12,0.0,0.04,0.32,74.0,M,0
NBA Live 06,GC,2005,Sports,0.25,0.07,0.0,0.01,0.33,76.0,E,0
Dead or Alive 4,X360,2005,Fighting,0.3,0.03,0.1,0.03,0.47,85.0,M,0
Tony Hawk's American Wasteland,X360,2005,Sports,0.28,0.01,0.0,0.03,0.32,75.0,T,0
Psychonauts,PS2,2005,Platform,0.05,0.04,0.0,0.01,0.09,86.0,T,0
Mortal Kombat: Deception,GC,2005,Fighting,0.09,0.02,0.0,0.0,0.11,77.0,M,0
Playboy: The Mansion,XB,2005,Simulation,0.07,0.02,0.0,0.0,0.09,61.0,M,0
FIFA Soccer,PSP,2005,Sports,0.11,0.0,0.0,0.01,0.12,73.0,E,0
Disney's Kim Possible 3: Team Possible,GBA,2005,Platform,0.33,0.12,0.0,0.01,0.46,76.0,E,0
Ford Mustang: The Legend Lives,XB,2005,Racing,0.07,0.02,0.0,0.0,0.09,55.0,E,0
Tiger Woods PGA Tour 06,XB,2005,Sports,0.35,0.11,0.0,0.02,0.48,81.0,E,0
Tom Clancy's Ghost Recon 2: Summit Strike,XB,2005,Shooter,0.29,0.08,0.0,0.01,0.39,84.0,T,0
Madden NFL 06,DS,2005,Sports,0.11,0.0,0.0,0.01,0.12,66.0,E,0
Brothers In Arms: Earned in Blood,PS2,2005,Shooter,0.38,0.01,0.0,0.06,0.46,71.0,M,0
Dragon Ball Z: Sagas,PS2,2005,Fighting,0.38,0.01,0.0,0.06,0.46,49.0,T,0
Dance Dance Revolution: Mario Mix,GC,2005,Misc,0.36,0.09,0.0,0.01,0.47,69.0,E,0
NARC,PS2,2005,Shooter,0.18,0.14,0.0,0.05,0.36,50.0,M,0
College Hoops 2K6,XB,2005,Sports,0.07,0.02,0.0,0.0,0.1,82.0,E,0
World Soccer Winning Eleven 9,XB,2005,Sports,0.06,0.33,0.02,0.03,0.44,89.0,E,0
Bust-A-Move DS,DS,2005,Puzzle,0.08,0.02,0.0,0.01,0.11,75.0,E,0
Fantastic 4,PS2,2005,Action,0.41,0.01,0.0,0.07,0.5,64.0,T,0
MX vs. ATV Unleashed,XB,2005,Racing,0.32,0.07,0.0,0.01,0.4,80.0,E,0
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",PS2,2005,Action,0.36,0.01,0.0,0.06,0.43,68.0,T,0
Shrek SuperSlam,PS2,2005,Action,0.24,0.19,0.0,0.06,0.5,67.0,E10+,0
Dynasty Warriors Advance,GBA,2005,Action,0.08,0.03,0.0,0.0,0.11,56.0,E,0
MLB 2006,PS2,2005,Sports,0.33,0.01,0.0,0.05,0.4,81.0,E,0
Mega Man Zero 4,GBA,2005,Platform,0.08,0.03,0.0,0.0,0.11,77.0,E,0
Monster Rancher EVO,PS2,2005,Role-Playing,0.02,0.02,0.05,0.01,0.1,58.0,E10+,0
Tiger Woods PGA Tour 06,GC,2005,Sports,0.08,0.02,0.0,0.0,0.11,82.0,E,0
Conflict: Global Terror,XB,2005,Shooter,0.08,0.02,0.0,0.0,0.1,62.0,M,0
Cold Fear,PS2,2005,Action,0.06,0.04,0.0,0.01,0.11,68.0,M,0
Codename: Kids Next Door: Operation V.I.D.E.O.G.A.M.E.,PS2,2005,Platform,0.05,0.04,0.0,0.01,0.1,49.0,E10+,0
The Incredibles: Rise of the Underminer,PS2,2005,Action,0.18,0.14,0.0,0.05,0.36,60.0,E10+,0
Delta Force: Black Hawk Down,XB,2005,Shooter,0.25,0.07,0.0,0.01,0.34,61.0,T,0
Battalion Wars,GC,2005,Strategy,0.25,0.07,0.07,0.01,0.4,76.0,T,0
Castlevania: Dawn of Sorrow,DS,2005,Platform,0.34,0.03,0.03,0.03,0.43,89.0,T,0
Kameo: Elements of Power,X360,2005,Action,0.28,0.03,0.0,0.03,0.34,79.0,T,0
SEGA Classics Collection,PS2,2005,Misc,0.21,0.16,0.0,0.05,0.43,46.0,T,0
Herbie: Fully Loaded,GBA,2005,Racing,0.24,0.09,0.0,0.01,0.34,47.0,E,0
Gauntlet: Seven Sorrows,PS2,2005,Role-Playing,0.2,0.15,0.0,0.05,0.4,59.0,T,0
NHL 2K6,PS2,2005,Sports,0.21,0.16,0.0,0.05,0.42,81.0,E10+,0
Tony Hawk's American Wasteland,GC,2005,Sports,0.33,0.08,0.0,0.01,0.42,76.0,T,0
Spy vs Spy,XB,2005,Action,0.08,0.02,0.0,0.0,0.11,53.0,T,0
FIFA Street,XB,2005,Sports,0.08,0.02,0.0,0.0,0.1,60.0,E,0
Taito Legends,PS2,2005,Misc,0.06,0.04,0.0,0.01,0.11,68.0,T,0
World Championship Poker 2: Featuring Howard Lederer,PS2,2005,Misc,0.16,0.13,0.0,0.04,0.34,67.0,T,0
GoldenEye: Rogue Agent,DS,2005,Shooter,0.1,0.0,0.0,0.01,0.11,58.0,T,0
The Sims 2,GC,2005,Simulation,0.26,0.07,0.0,0.01,0.33,73.0,T,0
WWE SmackDown! vs. RAW 2006,PSP,2005,Fighting,0.36,0.0,0.0,0.03,0.4,81.0,T,0
Total Overdose: A Gunslinger's Tale in Mexico,PS2,2005,Shooter,0.04,0.04,0.0,0.01,0.09,71.0,M,0
Frogger: Helmet Chaos,PSP,2005,Platform,0.1,0.0,0.0,0.01,0.11,66.0,E,0
Grandia III,PS2,2005,Role-Playing,0.12,0.1,0.24,0.03,0.49,77.0,T,0
Ultimate Spider-Man,GC,2005,Action,0.29,0.07,0.0,0.01,0.37,76.0,T,0
NHL 2K6,X360,2005,Sports,0.09,0.0,0.0,0.01,0.1,75.0,E10+,0
X-Men Legends II: Rise of Apocalypse,XB,2005,Role-Playing,0.3,0.12,0.0,0.02,0.44,84.0,T,0
Shrek SuperSlam,GBA,2005,Action,0.24,0.09,0.0,0.01,0.33,58.0,E10+,0
Ultimate Spider-Man,XB,2005,Action,0.26,0.11,0.0,0.02,0.39,77.0,T,0
Shining Force NEO,PS2,2005,Role-Playing,0.06,0.04,0.0,0.01,0.11,69.0,T,0
Crash Tag Team Racing,XB,2005,Racing,0.09,0.03,0.0,0.0,0.13,69.0,E10+,0
Indigo Prophecy,XB,2005,Adventure,0.07,0.03,0.0,0.0,0.1,84.0,M,0
Pac-Man Pinball Advance,GBA,2005,Misc,0.08,0.03,0.0,0.0,0.11,52.0,E,0
Naruto: Ultimate Ninja 3,PS2,2005,Fighting,0.36,0.01,0.0,0.06,0.44,75.0,T,0
Romance of the Three Kingdoms X,PS2,2005,Strategy,0.04,0.03,0.0,0.01,0.09,71.0,T,0
Battlefield 2: Modern Combat,PS2,2005,Shooter,0.37,0.01,0.0,0.06,0.44,80.0,T,0
Teenage Mutant Ninja Turtles 3: Mutant Nightmare,GC,2005,Action,0.09,0.02,0.0,0.0,0.12,57.0,E10+,0
L.A. Rush,PS2,2005,Racing,0.23,0.18,0.0,0.06,0.47,58.0,T,0
The Matrix: Path of Neo,PS2,2005,Action,0.41,0.01,0.0,0.07,0.49,69.0,T,0
NBA 2K6,XB,2005,Action,0.27,0.08,0.0,0.01,0.36,84.0,E,0
GripShift,PSP,2005,Racing,0.08,0.0,0.0,0.01,0.09,70.0,E,0
Suzuki TT Superbikes,PS2,2005,Racing,0.33,0.01,0.0,0.05,0.4,71.0,E,0
Tom Clancy's Rainbow Six: Lockdown,PS2,2005,Shooter,0.17,0.13,0.0,0.04,0.35,70.0,M,0
Marvel Nemesis: Rise of the Imperfects,PSP,2005,Fighting,0.29,0.0,0.0,0.02,0.32,58.0,T,0
Dragon Quest Heroes: Rocket Slime,DS,2005,Action,0.13,0.0,0.31,0.01,0.44,83.0,E,0
Quake 4,X360,2005,Shooter,0.32,0.02,0.0,0.03,0.37,75.0,M,0
Rengoku: The Tower of Purgatory,PSP,2005,Action,0.1,0.0,0.0,0.01,0.11,43.0,M,0
Dragon Ball Z: Supersonic Warriors 2,DS,2005,Fighting,0.13,0.02,0.32,0.02,0.49,66.0,E10+,0
Pariah,XB,2005,Action,0.08,0.02,0.0,0.0,0.1,70.0,M,0
Oddworld: Stranger's Wrath,XB,2005,Adventure,0.19,0.06,0.0,0.01,0.26,88.0,T,0
WipEout Pure,PSP,2005,Racing,0.47,0.34,0.0,0.23,1.03,88.0,E,1
Star Wars Episode III: Revenge of the Sith,XB,2005,Action,0.82,0.38,0.0,0.04,1.24,61.0,T,1
NBA 2K6,X360,2005,Action,0.21,0.01,0.0,0.02,0.23,81.0,E,0
Ratchet: Deadlocked,PS2,2005,Shooter,0.85,0.03,0.22,0.14,1.24,81.0,T,1
Pokemon XD: Gale of Darkness,GC,2005,Role-Playing,0.71,0.19,0.31,0.03,1.25,64.0,E,1
Need for Speed: Most Wanted,X360,2005,Racing,1.0,0.13,0.02,0.1,1.25,83.0,T,1
Aeon Flux,PS2,2005,Action,0.02,0.02,0.0,0.01,0.04,66.0,T,0
Capcom Fighting Evolution,XB,2005,Fighting,0.03,0.01,0.0,0.0,0.04,61.0,T,0
Shattered Union,XB,2005,Strategy,0.03,0.01,0.0,0.0,0.04,66.0,T,0
Genji: Dawn of the Samurai,PS2,2005,Action,0.11,0.09,0.0,0.03,0.23,74.0,M,0
Worms 4: Mayhem,XB,2005,Strategy,0.03,0.01,0.0,0.0,0.04,69.0,T,0
Imperial Glory,PC,2005,Strategy,0.0,0.04,0.0,0.0,0.04,69.0,T,0
Super Black Bass Fishing,DS,2005,Sports,0.04,0.0,0.0,0.0,0.04,35.0,E,0
The Sims 2: Nightlife,PC,2005,Simulation,1.22,0.05,0.0,0.0,1.27,76.0,T,1
Stolen,PS2,2005,Action,0.02,0.01,0.0,0.0,0.04,51.0,T,0
Tamagotchi Connection: Corner Shop,DS,2005,Simulation,0.1,0.02,1.12,0.01,1.26,59.0,E,1
SingStar '80s,PS2,2005,Misc,0.27,0.02,0.0,1.02,1.3,78.0,T,1
Madden NFL 06,GBA,2005,Sports,0.17,0.06,0.0,0.0,0.23,71.0,E,0
Star Wars: Battlefront II,PSP,2005,Shooter,1.05,0.05,0.01,0.1,1.21,69.0,T,1
Infected,PSP,2005,Shooter,0.14,0.0,0.0,0.01,0.15,74.0,M,0
Kingdom Under Fire: Heroes,XB,2005,Strategy,0.11,0.03,0.0,0.01,0.15,78.0,M,0
Digimon World 4,PS2,2005,Role-Playing,0.08,0.06,0.0,0.02,0.15,48.0,E,0
Dance Dance Revolution Extreme 2,PS2,2005,Simulation,0.95,0.04,0.0,0.16,1.14,76.0,E10+,1
Shadow of the Colossus,PS2,2005,Action,0.78,0.03,0.2,0.13,1.14,91.0,T,1
Tak: The Great Juju Challenge,GC,2005,Platform,0.12,0.03,0.0,0.0,0.15,75.0,E,0
Amped 3,X360,2005,Sports,0.13,0.02,0.0,0.01,0.16,72.0,T,0
Ultimate Spider-Man,DS,2005,Action,0.14,0.0,0.0,0.01,0.15,78.0,E10+,0
Outlaw Tennis,XB,2005,Sports,0.03,0.01,0.0,0.0,0.04,66.0,M,0
Gun,PS2,2005,Shooter,0.98,0.04,0.0,0.16,1.17,77.0,M,1
Harry Potter and the Goblet of Fire,XB,2005,Action,0.18,0.05,0.0,0.01,0.23,68.0,E10+,0
Harry Potter and the Goblet of Fire,DS,2005,Action,0.2,0.01,0.0,0.02,0.23,68.0,E,0
Meteos,DS,2005,Puzzle,0.15,0.01,0.06,0.01,0.23,88.0,E,0
The Incredible Hulk: Ultimate Destruction,XB,2005,Action,0.17,0.05,0.0,0.01,0.23,84.0,T,0
Red Ninja: End of Honor,PS2,2005,Action,0.02,0.02,0.0,0.01,0.04,47.0,M,0
Enthusia Professional Racing,PS2,2005,Racing,0.07,0.06,0.0,0.02,0.15,70.0,E,0
The Movies,PC,2005,Simulation,0.01,0.03,0.0,0.01,0.04,84.0,T,0
Madagascar,PS2,2005,Platform,0.78,0.45,0.0,0.07,1.31,69.0,E10+,1
Midway Arcade Treasures 3,PS2,2005,Misc,0.08,0.06,0.0,0.02,0.16,67.0,E,0
Special Forces: Nemesis Strike,XB,2005,Shooter,0.03,0.01,0.0,0.0,0.03,60.0,M,0
Mario Superstar Baseball,GC,2005,Sports,0.93,0.24,0.25,0.04,1.46,76.0,E,1
WRC: FIA World Rally Championship,PSP,2005,Racing,0.02,0.01,0.0,0.0,0.03,67.0,E,0
TimeSplitters: Future Perfect,XB,2005,Shooter,0.12,0.03,0.0,0.01,0.16,83.0,M,0
True Swing Golf,DS,2005,Sports,0.11,0.0,0.04,0.01,0.16,66.0,E,0
MX World Tour Featuring Jamie Little,XB,2005,Racing,0.03,0.01,0.0,0.0,0.03,51.0,E,0
Major League Baseball 2K5,PS2,2005,Sports,0.72,0.56,0.0,0.19,1.48,82.0,E,1
Crash Tag Team Racing,GC,2005,Racing,0.12,0.03,0.0,0.0,0.16,66.0,E10+,0
Street Supremacy,PSP,2005,Racing,0.03,0.0,0.0,0.0,0.03,41.0,E,0
From Russia With Love,GC,2005,Action,0.17,0.04,0.0,0.01,0.22,70.0,T,0
Tork: Prehistoric Punk,XB,2005,Platform,0.02,0.01,0.0,0.0,0.03,62.0,E,0
MVP Baseball 2005,PS2,2005,Sports,1.26,0.07,0.0,0.21,1.54,87.0,E,1
NBA 06,PSP,2005,Sports,0.2,0.0,0.0,0.02,0.22,72.0,E,0
Electroplankton,DS,2005,Misc,0.01,0.0,0.02,0.0,0.03,71.0,E,0
Pinball Hall of Fame: The Gottlieb Collection,PSP,2005,Misc,0.2,0.01,0.0,0.02,0.23,73.0,E,0
The Incredibles: Rise of the Underminer,GC,2005,Action,0.12,0.03,0.0,0.0,0.16,67.0,E10+,0
Flow: Urban Dance Uprising,PS2,2005,Misc,0.02,0.01,0.0,0.0,0.04,65.0,T,0
Need for Speed Underground Rivals,PSP,2005,Racing,0.69,0.37,0.02,0.24,1.32,74.0,E,1
Super Army War,GBA,2005,Action,0.03,0.01,0.0,0.0,0.04,58.0,T,0
SSX On Tour,PSP,2005,Sports,0.19,0.02,0.0,0.02,0.23,79.0,E,0
Spyro: Shadow Legacy,DS,2005,Action,0.14,0.01,0.0,0.01,0.16,50.0,E,0
Monster Hunter Freedom,PSP,2005,Role-Playing,0.24,0.03,1.03,0.04,1.34,71.0,T,1
Doom 3,XB,2005,Shooter,0.85,0.43,0.0,0.06,1.34,88.0,M,1
Dynasty Warriors 5,PS2,2005,Action,0.24,0.18,0.91,0.06,1.39,69.0,T,1
Robots,GC,2005,Action,0.12,0.03,0.0,0.0,0.16,56.0,E,0
Gumby vs. the Astrobots,GBA,2005,Action,0.03,0.01,0.0,0.0,0.04,63.0,E,0
Spartan: Total Warrior,PS2,2005,Action,0.11,0.09,0.0,0.03,0.22,74.0,M,0
Without Warning,PS2,2005,Shooter,0.02,0.01,0.0,0.0,0.04,45.0,M,0
Teenage Mutant Ninja Turtles 3: Mutant Nightmare,XB,2005,Action,0.03,0.01,0.0,0.0,0.04,56.0,E10+,0
The Sims 2,PSP,2005,Simulation,0.49,0.55,0.0,0.33,1.37,65.0,T,1
NBA Street: Showdown,PSP,2005,Sports,0.2,0.0,0.0,0.02,0.22,75.0,E,0
Steambot Chronicles,PS2,2005,Role-Playing,0.02,0.01,0.0,0.0,0.04,74.0,T,0
Mario Party 7,GC,2005,Misc,0.95,0.11,0.46,0.04,1.57,64.0,E,1
Midway Arcade Treasures: Extended Play,PSP,2005,Misc,0.21,0.0,0.0,0.02,0.24,63.0,M,0
Call Of Duty 2: Big Red One,XB,2005,Shooter,0.66,0.4,0.0,0.05,1.12,78.0,T,1
Prince of Persia: The Two Thrones,GC,2005,Action,0.11,0.03,0.0,0.0,0.15,84.0,M,0
The Incredible Hulk: Ultimate Destruction,GC,2005,Action,0.11,0.03,0.0,0.0,0.15,84.0,T,0
Shadow The Hedgehog,GC,2005,Platform,0.76,0.2,0.0,0.03,0.99,51.0,E10+,0
World Series of Poker,GC,2005,Misc,0.04,0.01,0.0,0.0,0.05,44.0,E10+,0
Ms Saga: A New Dawn,PS2,2005,Role-Playing,0.02,0.02,0.0,0.01,0.05,65.0,E10+,0
Capcom Classics Collection,XB,2005,Misc,0.11,0.03,0.0,0.01,0.15,81.0,T,0
"Ed, Edd n Eddy: The Mis-Edventures",GC,2005,Platform,0.19,0.05,0.0,0.01,0.25,55.0,E,0
X-Men Legends II: Rise of Apocalypse,GC,2005,Role-Playing,0.19,0.05,0.0,0.01,0.25,82.0,T,0
Rugby 2005,XB,2005,Sports,0.04,0.01,0.0,0.0,0.05,75.0,E,0
Taito Legends,XB,2005,Misc,0.04,0.01,0.0,0.0,0.05,74.0,T,0
Brain Boost: Beta Wave,DS,2005,Puzzle,0.14,0.0,0.0,0.01,0.15,39.0,E,0
American Chopper 2: Full Throttle,GC,2005,Racing,0.04,0.01,0.0,0.0,0.05,54.0,T,0
The Incredibles: Rise of the Underminer,DS,2005,Action,0.13,0.01,0.0,0.01,0.15,54.0,E10+,0
Geist,GC,2005,Adventure,0.11,0.03,0.0,0.0,0.15,66.0,M,0
Crime Life: Gang Wars,XB,2005,Action,0.04,0.01,0.0,0.0,0.05,30.0,M,0
187: Ride or Die,PS2,2005,Racing,0.07,0.06,0.0,0.02,0.15,52.0,M,0
Mario Party Advance,GBA,2005,Misc,0.5,0.19,0.28,0.02,0.98,54.0,E,0
America's Army: Rise of a Soldier,XB,2005,Shooter,0.19,0.05,0.0,0.01,0.25,70.0,T,0
Sigma Star Saga,GBA,2005,Role-Playing,0.04,0.01,0.0,0.0,0.05,68.0,E10+,0
The Sims 2,DS,2005,Simulation,0.81,0.05,0.0,0.07,0.93,70.0,E10+,0
NHL 06,XB,2005,Sports,0.19,0.05,0.0,0.01,0.25,79.0,E10+,0
Super Monkey Ball Deluxe,XB,2005,Misc,0.11,0.03,0.0,0.01,0.15,81.0,E,0
Tom Clancy's Splinter Cell: Chaos Theory,PS2,2005,Action,0.36,0.45,0.0,0.14,0.95,87.0,M,0
The Sims 2,XB,2005,Simulation,0.19,0.05,0.0,0.01,0.25,75.0,T,0
Zoo Tycoon DS,DS,2005,Strategy,0.86,0.03,0.01,0.08,0.98,44.0,E,0
Star Wars: Republic Commando,PC,2005,Shooter,0.0,0.04,0.0,0.01,0.05,78.0,T,0
Ty the Tasmanian Tiger 3: Night of the Quinkan,GBA,2005,Action,0.04,0.01,0.0,0.0,0.05,73.0,E10+,0
Devil Kings,PS2,2005,Action,0.03,0.03,0.18,0.01,0.25,64.0,T,0
Batman Begins,GC,2005,Action,0.11,0.03,0.0,0.0,0.15,66.0,T,0
Pac-Man World 3,XB,2005,Platform,0.11,0.04,0.0,0.01,0.15,65.0,E,0
Grand Theft Auto: San Andreas,PC,2005,Action,0.0,0.93,0.0,0.04,0.97,93.0,M,0
NCAA Football 06,XB,2005,Sports,0.73,0.21,0.0,0.03,0.97,87.0,E,0
Codename: Kids Next Door: Operation V.I.D.E.O.G.A.M.E.,GC,2005,Platform,0.04,0.01,0.0,0.0,0.05,58.0,E10+,0
SOCOM: U.S. Navy SEALs Fireteam Bravo,PSP,2005,Shooter,1.03,0.0,0.01,0.08,1.12,82.0,M,1
Brain Boost: Gamma Wave,DS,2005,Puzzle,0.14,0.0,0.0,0.01,0.15,40.0,E,0
Sniper Elite,XB,2005,Shooter,0.07,0.02,0.0,0.0,0.09,77.0,M,0
Star Fox: Assault,GC,2005,Shooter,0.68,0.18,0.19,0.03,1.08,67.0,T,1
Dragon Ball Z: Sagas,XB,2005,Fighting,0.18,0.05,0.0,0.01,0.24,51.0,T,0
Crash Tag Team Racing,PSP,2005,Racing,0.16,0.05,0.0,0.03,0.24,68.0,E10+,0
